Benchmarks/Nonlinear/Dai Gan Xia Zhan JSC14 Ex. 2,Scripted proof,proved,60000,11592,2285,0,3589,7
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Dai Gan Xia Zhan JSC14 Ex. 5,Scripted proof,proved,60000,9746,2584,0,1440,7
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Darboux Christoffel Int Goriely page 58,Scripted proof,proved,60000,11379,2929,0,3078,17
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Djaballah Chapoutot Kieffer Bouissou 2017 Ex. 2,Scripted proof,proved,60000,1261,433,0,1204,9
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Dumortier Llibre Artes Ex. 10_11,Scripted proof,proved,60000,1549,651,0,637,9
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Dumortier Llibre Artes Ex. 10_11b,Scripted proof,proved,60000,620,217,0,352,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Dumortier Llibre Artes Ex. 10_15_i,Scripted proof,proved,60000,1070,419,0,629,5
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Dumortier Llibre Artes Ex. 10_15_ii,Scripted proof,proved,60000,789,327,0,396,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Dumortier Llibre Artes Ex. 10_9,Scripted proof,proved,60000,723,287,0,352,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Dumortier Llibre Artes Ex. 1_11a,Scripted proof,proved,60000,850,325,0,741,9
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Dumortier Llibre Artes Ex. 1_9a,Scripted proof,proved,60000,1054,420,0,1003,8
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Dumortier Llibre Artes Ex. 5_2,Scripted proof,proved,60000,4415,1527,0,5248,9
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Dumortier Llibre Artes Ex. 5_2_ii,Scripted proof,proved,60000,862,335,0,741,9
