benchmark,instance,result,time,comment
Benchmarks/Basic/Dynamics: Single integrator,user,proved,535,timeout=60000 | QE=182 | RCF=0 | proof_steps=152 | tactic_size=1
Benchmarks/Basic/Dynamics: Double integrator,user,proved,1420,timeout=60000 | QE=468 | RCF=0 | proof_steps=1330 | tactic_size=1
Benchmarks/Basic/Dynamics: Triple integrator,user,proved,1707,timeout=60000 | QE=566 | RCF=0 | proof_steps=1054 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential decay (1),user,proved,976,timeout=60000 | QE=328 | RCF=0 | proof_steps=318 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential decay (2),user,proved,962,timeout=60000 | QE=332 | RCF=0 | proof_steps=318 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential decay (3),user,proved,1008,timeout=60000 | QE=375 | RCF=0 | proof_steps=377 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential growth (1),user,proved,750,timeout=60000 | QE=190 | RCF=0 | proof_steps=307 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential growth (2),user,proved,1048,timeout=60000 | QE=270 | RCF=0 | proof_steps=523 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential growth (4),user,proved,1031,timeout=60000 | QE=455 | RCF=0 | proof_steps=335 | tactic_size=1
Benchmarks/Basic/Dynamics: Exponential growth (5),user,proved,9944,timeout=60000 | QE=220 | RCF=0 | proof_steps=507 | tactic_size=1
Benchmarks/Basic/Dynamics: Rotational dynamics (1),user,proved,1043,timeout=60000 | QE=329 | RCF=0 | proof_steps=678 | tactic_size=1
Benchmarks/Basic/Dynamics: Rotational dynamics (2),user,proved,2726,timeout=60000 | QE=911 | RCF=0 | proof_steps=3517 | tactic_size=1
Benchmarks/Basic/Dynamics: Rotational dynamics (3),user,proved,1789,timeout=60000 | QE=728 | RCF=0 | proof_steps=2245 | tactic_size=1
Benchmarks/Basic/Dynamics: Spiral to equilibrium,user,proved,1285,timeout=60000 | QE=385 | RCF=0 | proof_steps=782 | tactic_size=1
Benchmarks/Basic/Dynamics: Open cases,user,proved,1459,timeout=60000 | QE=503 | RCF=0 | proof_steps=837 | tactic_size=1
Benchmarks/Basic/Dynamics: Closed cases,user,proved,691,timeout=60000 | QE=268 | RCF=0 | proof_steps=426 | tactic_size=1
Benchmarks/Basic/Dynamics: Conserved quantity,user,proved,946,timeout=60000 | QE=397 | RCF=0 | proof_steps=513 | tactic_size=1
Benchmarks/Basic/Dynamics: Darboux equality,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/Dynamics: Fractional Darboux equality,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/Dynamics: Darboux inequality,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/Dynamics: Bifurcation,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/Dynamics: Parametric switching between two different damped oscillators,user,proved,11891,timeout=60000 | QE=299 | RCF=0 | proof_steps=1576 | tactic_size=1
Benchmarks/Basic/Dynamics: Nonlinear 1,user,proved,844,timeout=60000 | QE=311 | RCF=0 | proof_steps=423 | tactic_size=1
Benchmarks/Basic/Dynamics: Nonlinear 2,user,proved,794,timeout=60000 | QE=298 | RCF=0 | proof_steps=454 | tactic_size=1
Benchmarks/Basic/Dynamics: Nonlinear 4,user,proved,833,timeout=60000 | QE=332 | RCF=0 | proof_steps=452 | tactic_size=1
Benchmarks/Basic/Dynamics: Nonlinear 5,user,proved,801,timeout=60000 | QE=276 | RCF=0 | proof_steps=387 | tactic_size=1
